's	s'
lampshade	lampshades
lanai	lanais
lance	lances,lanced,lancing
lancer	lancers
lancet	lancets
land	lands,landing,landed
landau	landaus
lander	landers
landfall	landfalls
landfill	landfills
landform	landforms
landholder	landholders
landholding	landholdings
landing	landings
landlady	landladies
landlord	landlords
landlubber	landlubbers
landmark	landmarks
landmass	landmasses
landmine	landmines
landowner	landowners
landrace	landraces
landscape	landscaped,landscapes,landscaping
landscaper	landscapers
landslide	landslides
landslip	landslips
lane	lanes
language	languages
languish	languishes,languishing,languished
languor	languors
langur	langurs
lank	lanker,lankest
lanky	lankier,lankiest
lantern	lanterns
lanthanide	lanthanides
lanyard	lanyards
lap	laps,lapped,lapping
laparoscope	laparoscopes
laparoscopy	laparoscopies
laparotomy	laparotomies
lapdog	lapdogs
lapel	lapels
lapse	lapsed,lapses,lapsing
laptop	laptops
lapwing	lapwings
lar	lars
larceny	larcenies
larch	larches
lard	lards,larding,larded
larder	larders
large	larger,largest
lark	larking,larks,larked
larva	larvas,larvae
laryngectomy	laryngectomies
laryngitis	laryngitides
larynx	larynges,larynxes
lase	lasing,lased,lases
laser	lasers
lash	lashed,lashing,lashes
lashing	lashings
lass	lasses
lassie	lassies
lasso	lassos,lassoed,lassoes,lassoing
last	lasting,lasted,lasts
lat	lats
latch	latching,latches,latched
latchkey	latchkeys
late	latest,later
latecomer	latecomers
latency	latencies
lateral	laterals
lateralisation	lateralisations
laterality	lateralities
laterite	laterites
latex	latexes,latices
lath	laths
lathe	lathing,lathes,lathed
lather	lathered,lathering,lathers
latitude	latitudes
latrine	latrines
latte	lattes
latter	latters
lattice	lattices
latticework	latticeworks
laud	lauding,lauds,lauded
laugh	laughed,laughing,laughs
laughter	laughters
launch	launches,launched,launching
launcher	launchers
launching	launchings
launder	laundering,laundered,launders
launderer	launderers
launderette	launderettes
laundering	launderings
laundress	laundresses
laundrette	laundrettes
laundry	laundries
laura	lauras
laureate	laureates
laurel	laurels
lauryl	lauryls
lava	lavas
lavatory	lavatories
lavender	lavenders
laver	lavers
lavish	lavishes,lavishing,lavished
law	laws
law-breaker	law-breakers
law-maker	law-makers
lawbreaker	lawbreakers
lawmaker	lawmakers
lawman	lawmen
lawn	lawns
lawnmower	lawnmowers
lawsuit	lawsuits
lawyer	lawyers
lax	laxest,laxer
laxative	laxatives
laxity	laxities
lay	lays,laid,laying
lay-by	lay-bied,lay-bies,lay-bys,lay-bying
lay-off	lay-offs
lay-out	lay-outs
layabout	layabouts
layer	layering,layers,layered
layette	layettes
layman	laymen
layoff	layoffs
layout	layouts
layover	layovers
layperson	laypersons,laypeople
laze	lazed,lazing,lazes
lazy	lazier,laziest
lb	lbs
ld	lds
lea	leas
leach	leached,leaching,leaches
leachate	leachates
lead	leading,leads,led
lead-in	lead-ins
leader	leaders
leadership	leaderships
leaf	leaves,leafed,leafs,leafing
leafhopper	leafhoppers
leaflet	leafletted,leaflets,leafletting,leafleting,leafleted
leafy	leafier,leafiest
league	leagues
leak	leaked,leaking,leaks
leakage	leakages
leaky	leakier,leakiest
lean	leaner,leans,leaned,leant,leanest,leaning
lean-to	lean-toed,lean-toing,lean-tos
leaning	leanings
leap	leaps,leaped,leaping,leapt
leap-frog	leap-frogging,leap-frogs,leap-frogged
leapfrog	leapfrogged,leapfrogging,leapfrogs
learn	learnt,learned,learning,learns
learner	learners
learning	learnings
lease	leased,leasing,leases
leaseholder	leaseholders
leash	leashes
leather	leathering,leathered,leathers
leatherback	leatherbacks
leatherjacket	leatherjackets
leave	leaves,left,leaving
leaven	leavened,leavens,leavening
leaver	leavers
lebanese	lebaneses
lecher	lechers
lecithin	lecithins
lectern	lecterns
lectin	lectins
lectionary	lectionaries
lecture	lectures,lectured,lecturing
lecturer	lecturers
lectureship	lectureships
ledge	ledges
ledger	ledgers
lee	lees
leech	leeched,leeches,leeching
leek	leeks
leer	leering,leers,leered
leeway	leeways
left	lefts
left-handed	left-handeds
left-hander	left-handers
left-over	left-overs
left-winger	left-wingers
leftie	lefties
leftist	leftists
leftover	leftovers
lefty	lefties
leg	legs,legging,legged
legacy	legacies
legalisation	legalisations
legalise	legalises,legalising,legalised
legalism	legalisms
legality	legalities
legalization	legalizations
legalize	legalized,legalizes,legalizing
legate	legates
legatee	legatees
legation	legations
legend	legends
legging	leggings
leggy	leggier,leggiest
legibility	legibilities
legion	legions
legionella	legionellas,legionellae
legionellosis	legionelloses
legionnaire	legionnaires
legislate	legislates,legislated,legislating
legislation	legislations
legislator	legislators
legislature	legislatures
legitimate	legitimates,legitimating,legitimated
legitimise	legitimising,legitimised,legitimises
legitimize	legitimizes,legitimizing,legitimized
legume	legumes
leiomyoma	leiomyomata,leiomyomas
leishmaniasis	leishmaniases
leisure	leisures
lek	leks
lemma	lemmata
lemming	lemmings
lemon	lemons
lemonade	lemonades
lemur	lemurs
lend	lent,lends,lending
lender	lenders
length	lengths
lengthen	lengthened,lengthens,lengthening
lengthy	lengthiest,lengthier
lens	lenses
lense	lenses
lenticel	lenticels
lentil	lentils
lentivirus	lentiviruses
leopard	leopards
leotard	leotards
leper	lepers
leprechaun	leprechauns
leprosy	leprosies
leptin	leptins
lepton	lepta,leptons
leptospirosis	leptospiroses
lesbian	lesbians
lesion	lesions
less	least
lessee	lessees
lessen	lessens,lessened,lessening
lesson	lessons
lessor	lessors
let	lets,letting
let-up	let-ups
letdown	letdowns
lethality	lethalities
lethargy	lethargies
letter	letters,lettering,lettered
letter-bomb	letter-bombs
letterbox	letterboxes
letterform	letterforms
letterhead	letterheads
letterpress	letterpresses
lettuce	lettuces
leu	lei
leucine	leucines
leucocyte	leucocytes
leucopenia	leucopenias
leukaemia	leukaemias
leukemia	leukemias
leukocyte	leukocytes
leukotriene	leukotrienes
levee	levees
level	leveling,leveller,levellest,levelling,leveled,levelled,levels
lever	levered,levers,levering
leverage	leverages,leveraged,leveraging
leveret	leverets
leviathan	leviathans
levitate	levitates,levitating,levitated
levitation	levitations
levity	levities
levonorgestrel	levonorgestrels
levy	levied,levies,levying
lewd	lewdest,lewder
lex	leges
lexeme	lexemes
lexicographer	lexicographers
lexicon	lexicons,lexica
lexis	lexises
ley	leys
liability	liabilities
liaise	liaising,liaises,liaised
liaison	liaisons
liana	lianas
liar	liars
libation	libations
libel	libelled,libeled,libelling,libels,libeling
liber	libers
liberal	liberals
liberalisation	liberalisations
liberalise	liberalising,liberalised,liberalises
liberality	liberalities
liberalization	liberalizations
liberalize	liberalizing,liberalized,liberalizes
liberate	liberating,liberated,liberates
liberation	liberations
liberationist	liberationists
liberator	liberators
libertarian	libertarians
libertine	libertines
liberty	liberties
libido	libidos,libidines
librarian	librarians
library	libraries
librettist	librettists
libretto	librettos,libretti
licence	licencing,licences,licenced
license	licenses,licensing,licensed
licensee	licensees
licensor	licensors
licensure	licensures
licentiate	licentiates
lichen	lichens
lick	licking,licked,licks
licking	lickings
licorice	licorices
lid	lids
lido	lidos
lie	lay,lain,lying,lies,lied
liege	lieges
lien	liens
lieutenant	lieutenants
life	lifes,lives
life-cycle	life-cycles
life-expectancy	life-expectancies
life-form	life-forms
life-jacket	life-jackets
life-line	life-lines
life-raft	life-rafts
life-saver	life-savers
life-span	life-spans
life-style	life-styles
life-time	life-times
life-world	life-worlds
lifebelt	lifebelts
lifeboat	lifeboats
lifebuoy	lifebuoys
lifecycle	lifecycles
lifeguard	lifeguards
lifejacket	lifejackets
lifeline	lifelines
lifer	lifers
lifesaver	lifesavers
lifespan	lifespans
lifestyle	lifestyles
lifetime	lifetimes
lifeworld	lifeworlds
lift	lifting,lifts,lifted
lift-off	lift-offs
lift-shaft	lift-shafts
lifter	lifters
ligament	ligaments
ligand	ligands
ligase	ligases
ligate	ligating,ligates,ligated
ligation	ligations
ligature	ligatures
light	lit,lightest,lighting,lighter,lights,lighted
light-weight	light-weights
light-year	light-years
lightbox	lightboxes
lightbulb	lightbulbs
lighten	lightened,lightening,lightens
lighter	lighters
lighthouse	lighthouses
lighting	lightings
lightness	lightnesses
lightning	lightnings
lightship	lightships
lightweight	lightweights
lignan	lignans
ligne	lignes
lignin	lignins
like	liked,likes,liking
likelihood	likelihoods
likely	likelier,likeliest
liken	likening,likened,likens
likeness	likenesses
liking	likings
lilac	lilacs
lilt	lilting,lilts,lilted
lily	lilies
lim	lims
limb	limbs
limber	limbering,limbered,limbers
limbo	limbos
lime	limed,liming,limes
limerick	limericks
limestone	limestones
limey	limeys
limit	limiting,limits,limited
limitation	limitations
limiter	limiters
limousine	limousines
limp	limpest,limping,limped,limps,limper
limpet	limpets
linchpin	linchpins
linctus	linctuses
linden	lindens
line	lines,lined,lining
line-up	line-ups
linea	lineae
lineage	lineages
lineament	lineaments
linearisation	linearisations
linearise	linearised,linearises,linearising
linearity	linearities
linearization	linearizations
linearize	linearizing,linearized,linearizes
lineman	linemen
linen	linens
liner	liners
linesman	linesmen
lineup	lineups
linewidth	linewidths
ling	lings
linger	lingers,lingering,lingered
lingo	lingoes
lingua	linguae
linguist	linguists
linguistic	linguistics
liniment	liniments
lining	linings
link	linking,links,linked
link-up	link-ups
linkage	linkages
linker	linkers
linkman	linkmen
linnet	linnets
lino	linos
linoleum	linoleums
linseed	linseeds
lintel	lintels
lion	lions
lioness	lionesses
lip	lipped,lipping,lips
lip-read	lip-reads,lip-reading
lip-reading	lip-readings
lipase	lipases
lipid	lipids
lipoatrophy	lipoatrophies
lipodystrophy	lipodystrophies
lipoma	lipomata,lipomas
lipopolysaccharide	lipopolysaccharides
lipoprotein	lipoproteins
liposome	liposomes
liposuction	liposuctions
lipread	lipreaded,lipreads,lipreading
lipreading	lipreadings
lipstick	lipsticks
liquefy	liquefying,liquefies,liquefied
liqueur	liqueurs
liquid	liquids
liquidate	liquidating,liquidated,liquidates
liquidation	liquidations
liquidator	liquidators
liquidise	liquidised,liquidises,liquidising
liquidize	liquidizing,liquidized,liquidizes
liquidizer	liquidizers
liquify	liquifies,liquified,liquifying
liquor	liquors,liquores
liquorice	liquorices
lira	lire,liras
lisa	lisas
lisp	lisps,lisping,lisped
list	listing,listed,lists
listen	listened,listening,listens
listener	listeners
lister	listers
listeria	listerias
listing	listings
listserv	listservs
listserve	listserves
listserver	listservers
litany	litanies
lite	lites
liter	liters
literacy	literacies
literal	literals
literalism	literalisms
literalist	literalists
literate	literates
literature	literatures
lithe	lithest,lither
lithograph	lithographing,lithographed,lithographs
lithology	lithologies
lithosphere	lithospheres
lithotripsy	lithotripsies
litigant	litigants
litigate	litigates,litigating,litigated
litigation	litigations
litigator	litigators
litre	litres
litter	littered,litters,littering
litterbug	litterbugs
littermate	littermates
little	littlest,least,littler,less
littoral	littorals
liturgy	liturgies
live	lived,livest,liver,living,lives
livelihood	livelihoods
lively	livelier,liveliest
liven	livening,livens,livened
liver	livers
liverwort	liverworts
livery	liveries
liveweight	liveweights
livid	lividdest,lividder
living	livings
living-room	living-rooms
livre	livres
lizard	lizards
llama	llamas
loach	loaches
load	loading,loaded,loads
loader	loaders
loading	loadings
loaf	loafed,loafs,loafing,loaves
loafer	loafers
loam	loams
loamy	loamier
loan	loaning,loans,loaned
loathe	loathing,loathed,loathes
loathly	loathlier
lob	lobbed,lobbing,lobs
lobby	lobbies,lobbying,lobbied
lobbying	lobbyings
lobbyist	lobbyists
lobe	lobes
lobectomy	lobectomies
lobotomy	lobotomies
lobster	lobsters
lobule	lobules
local	locals
locale	locales
localisation	localisations
localise	localises,localising,localised
localism	localisms
localist	localists
locality	localities
localization	localizations
localize	localized,localizing,localizes
locate	locates,located,locating
location	locations
locator	locators
loch	lochs
lock	locking,locked,locks
lock-out	lock-outs
locker	lockers
locket	lockets
lockout	lockouts
locksmith	locksmiths
lockup	lockups
loco	locoes,locos
locomotion	locomotions
locomotive	locomotives
locum	locums
locus	loca,loci,locuses
locust	locusts
locution	locutions
lode	lodes
lodge	lodges,lodging,lodged
lodgement	lodgements
lodger	lodgers
lodging	lodgings
lodgment	lodgments
loft	lofting,lofts,lofted
lofty	loftiest,loftier
log	logs,logging,logged
log-in	log-ins
loganberry	loganberries
logarithm	logarithms
logbook	logbooks
logger	loggers
loggerhead	loggerheads
loggia	loggias
logic	logics
logician	logicians
login	logins
logistic	logistics
logistician	logisticians
logo	logos
loin	loins
loincloth	loincloths
loiter	loitered,loiters,loitering
loll	lolling,lolls,lolled
lollipop	lollipops
lollop	lollops,lolloping,lolloped
lolly	lollies
lone	loner,lonest
lonely	lonelier,loneliest
loner	loners
long	longer,longed,longs,longing,longest
long-lasting	longest-lasting,longer-lasting
long-lived	longer-lived,longest-lived
long-running	longest-running
long-term	longer-term
longbow	longbows
longevity	longevities
longhorn	longhorns
longhouse	longhouses
longing	longings
longitude	longitudes
longshoreman	longshoremen
longue	longues
loo	loos
loofah	loofahs
look	looked,looking,looks
look-alike	look-alikes
look-out	look-outs
look-up	look-ups
lookalike	lookalikes
looker	lookers
looker-on	lookers-on
looking-glass	looking-glasses
